promo_id,retailer_name,sku_id,promo_start_date,promo_end_date,promo_type,promo_depth_pct,baseline_velocity,promo_velocity,promo_lift_pct,incremental_units,cannibalization_rate_pct,promo_roi,trade_spend_dollars
PROMO-2024-0112,Walmart,SKU-B03,2024-02-17,2024-03-01,TPR,24.17,6.01,9.19,53.03,17590,5.5,0.15,78446.65
PROMO-2024-0153,Albertsons,SKU-C02,2024-02-17,2024-03-01,TPR,29.4,2.9,3.97,36.78,643,13.92,0.01,111559.29
PROMO-2024-0096,Kroger,SKU-A02,2024-02-10,2024-02-23,Display,26.21,5.9,9.07,53.66,5197,7.28,0.06,154998.12
PROMO-2024-0085,Walmart,SKU-A02,2024-01-20,2024-02-02,TPR,19.57,5.9,7.86,33.06,10139,0.25,0.23,76896.72
PROMO-2024-0140,Target,SKU-C01,2024-01-20,2024-02-02,TPR,20.85,4.94,7.7,55.87,8204,9.45,0.1,158998.39
PROMO-2024-0088,Target,SKU-A03,2024-01-13,2024-01-26,BOGO,50,6.61,12.21,84.69,9289,2.03,0.23,46961.91
PROMO-2023-0020,Kroger,SKU-A01,2023-12-09,2023-12-22,Feature,31.5,7.24,11.34,56.64,4967,8.53,0.06,125816.66
PROMO-2023-0035,Walmart,SKU-B01,2023-12-09,2023-12-22,TPR,23.8,8.59,12.29,43.08,25482,11.55,0.46,43528.58
PROMO-2023-0063,Target,SKU-C02,2023-12-09,2023-12-22,Feature,18.46,2.9,4.14,42.64,3533,13.37,0.04,176360.83
PROMO-2023-0074,Albertsons,SKU-C02,2023-12-09,2023-12-22,TPR,26.53,2.9,4.06,39.83,697,14.1,0.01,137352.94
PROMO-2023-0046,Kroger,SKU-B01,2023-12-02,2023-12-15,Display,32.57,8.59,11.34,32.03,5789,8.51,0.29,15842.93
PROMO-2023-0052,Albertsons,SKU-B02,2023-12-02,2023-12-15,TPR,13.9,6.57,8.38,27.47,732,0.76,0,132634.03
PROMO-2023-0029,Albertsons,SKU-A03,2023-11-25,2023-12-08,TPR,12.49,6.61,9.3,40.62,1392,7.2,0.03,49245.83
PROMO-2023-0059,Walmart,SKU-C01,2023-11-25,2023-12-08,TPR,23.1,4.94,5.48,10.99,2869,9.51,0.04,136157.33
PROMO-2023-0069,Kroger,SKU-C02,2023-11-18,2023-12-01,Feature+Display,21.09,2.9,4.68,61.21,2536,8.82,0.05,86235.25
PROMO-2023-0079,Albertsons,SKU-C01,2023-11-18,2023-12-01,Feature,22.31,4.94,6.66,34.87,1081,8.57,0.02,133361.04
PROMO-2023-0011,Target,SKU-A02,2023-11-11,2023-11-24,Display,13.63,5.9,7.22,22.2,2867,0.72,0.16,31931.84
PROMO-2023-0005,Walmart,SKU-A03,2023-11-04,2023-11-17,Feature,13.66,6.61,9.27,40.17,10466,3.13,0.08,146905.92
PROMO-2023-0025,Albertsons,SKU-A03,2023-11-04,2023-11-17,Feature,21.78,6.61,7.39,11.77,403,13.4,0.01,93983.95
PROMO-2023-0076,Albertsons,SKU-C01,2023-11-04,2023-11-17,Feature,23.07,4.94,6.87,39.1,1212,7.89,0.01,175893.05
PROMO-2023-0041,Target,SKU-B02,2023-10-28,2023-11-10,TPR,22.95,6.57,9.71,47.63,4532,7.28,0.05,84705.94
PROMO-2023-0048,Kroger,SKU-B02,2023-10-28,2023-11-10,TPR,32.76,6.57,7.31,11.24,784,7.3,0.01,96765.73
PROMO-2023-0008,Walmart,SKU-A02,2023-10-21,2023-11-03,Feature+Display,31.32,5.9,9.37,58.75,18018,6.7,0.46,68386.15
PROMO-2023-0050,Albertsons,SKU-B03,2023-10-21,2023-11-03,Feature+Display,13.98,6.01,7.14,18.96,734,0.52,0,178787.97
PROMO-2023-0017,Kroger,SKU-A02,2023-10-14,2023-10-27,Feature+Display,23.18,5.9,7.43,25.79,2498,1.44,0.2,21430.82
PROMO-2023-0031,Albertsons,SKU-A03,2023-10-14,2023-10-27,BOGO,50,6.61,8.01,21.09,723,0.5,0.05,18112.42
PROMO-2023-0007,Walmart,SKU-A01,2023-09-30,2023-10-13,TPR,14.23,7.24,9.72,34.34,9536,11.41,0.12,124384.98
PROMO-2023-0037,Walmart,SKU-B01,2023-09-30,2023-10-13,BOGO,50,8.59,13.5,57.27,33874,0.71,0.47,56838.59
PROMO-2023-0054,Albertsons,SKU-B01,2023-09-23,2023-10-06,Display,31.88,8.59,10.41,21.23,1465,13.49,0.01,109897.53
PROMO-2023-0004,Walmart,SKU-A03,2023-09-16,2023-09-29,Feature+Display,20.98,6.61,8.2,24.02,6258,7.89,0.05,157232.42
PROMO-2023-0038,Target,SKU-B03,2023-09-16,2023-09-29,TPR,31.57,6.01,7.91,31.7,4381,9.64,0.08,39415.31
PROMO-2023-0078,Albertsons,SKU-C02,2023-09-16,2023-09-29,Feature,18.11,2.9,3.7,27.34,478,9.67,0.01,65798.32
PROMO-2023-0009,Target,SKU-A02,2023-09-09,2023-09-22,BOGO,50,5.9,9.5,60.82,7854,12.67,0.21,64644.99
PROMO-2023-0064,Target,SKU-C02,2023-09-09,2023-09-22,BOGO,50,2.9,4.4,51.66,4280,3.5,0.05,165807.04
PROMO-2023-0026,Albertsons,SKU-A02,2023-09-02,2023-09-15,Feature,25.4,5.9,8.58,45.3,1828,0.65,0.03,97072.94
PROMO-2023-0070,Kroger,SKU-C02,2023-09-02,2023-09-15,Feature,14.33,2.9,3.14,8.28,343,5.73,0,130131.84
PROMO-2023-0077,Albertsons,SKU-C02,2023-09-02,2023-09-15,BOGO,50,2.9,5.25,80.97,1416,3.38,0.11,23132.14
PROMO-2023-0033,Walmart,SKU-B01,2023-08-26,2023-09-08,Display,29.97,8.59,10.95,27.55,16293,11.78,0.29,43163.18
PROMO-2023-0022,Kroger,SKU-A03,2023-08-19,2023-09-01,Feature+Display,19.67,6.61,11.93,80.48,6620,13.2,0.12,62516.87
PROMO-2023-0061,Target,SKU-C02,2023-08-19,2023-09-01,Feature+Display,24.5,2.9,4.19,44.38,3677,6.17,0.06,109163.15
PROMO-2023-0066,Kroger,SKU-C03,2023-08-12,2023-08-25,TPR,34.08,3.69,4.41,19.64,777,4.59,0.01,170664.41
PROMO-2023-0044,Kroger,SKU-B02,2023-08-05,2023-08-18,Feature,22.81,6.57,8.73,32.72,2283,8.66,0.02,85493.18
PROMO-2023-0056,Walmart,SKU-C01,2023-08-05,2023-08-18,Display,29.89,4.94,6.45,30.56,7978,12.52,0.14,110573.57
PROMO-2023-0062,Target,SKU-C01,2023-08-05,2023-08-18,TPR,27.68,4.94,7.22,46.1,6770,13.85,0.23,56493.17
PROMO-2023-0014,Target,SKU-A02,2023-07-22,2023-08-04,Feature,13.37,5.9,6.39,8.2,1058,14.15,0.05,33486.5
