week_ending_date,retailer_name,wmt_item_number,region,brand_name,category,sub_category,sku_id,sku_description,upc,dollar_sales,unit_sales,velocity_per_store,avg_selling_price,num_stores_selling,acv_distribution_pct,oos_rate_pct,prior_year_dollar_sales,prior_year_unit_sales,yoy_dollar_growth_pct
2025-02-22,Walmart,003825544,Midwest,Apex,Snacks,Salty Snacks,SKU-A04,Apex Premium Aged Cheddar Puffs 16oz,0-72820-00104-5,6925.28,2285,3.255,3.03,702,73.48,2.98,6074.24,1960,14.01
2025-02-22,Walmart,003825544,Northeast,Apex,Snacks,Salty Snacks,SKU-A04,Apex Premium Aged Cheddar Puffs 16oz,0-72820-00104-5,7759.5,2539,3.315,3.06,766,73.69,5.01,6297.38,2032,23.22
2025-02-22,Walmart,003825544,South Central,Apex,Snacks,Salty Snacks,SKU-A04,Apex Premium Aged Cheddar Puffs 16oz,0-72820-00104-5,6472.15,2057,3.135,3.15,656,66.13,1.16,5221.99,1685,23.94
2025-02-22,Walmart,003825544,Southeast,Apex,Snacks,Salty Snacks,SKU-A04,Apex Premium Aged Cheddar Puffs 16oz,0-72820-00104-5,8470.99,2886,3.448,2.94,837,69.2,1.99,7605.2,2454,11.38
2025-02-22,Walmart,003825544,West,Apex,Snacks,Salty Snacks,SKU-A04,Apex Premium Aged Cheddar Puffs 16oz,0-72820-00104-5,11315.64,3509,3.749,3.22,936,68.73,4.2,8909.92,2875,27
2025-02-22,Walmart,003825545,Midwest,Apex,Snacks,Salty Snacks,SKU-A05,Apex Classic White Cheddar Popcorn 24oz,0-72820-00105-2,5926.32,1973,2.981,3,662,79.52,2.61,4476,1492,32.4
2025-02-22,Walmart,003825545,Northeast,Apex,Snacks,Salty Snacks,SKU-A05,Apex Classic White Cheddar Popcorn 24oz,0-72820-00105-2,4515.95,1500,2.366,3.01,634,78.84,1.36,4074,1358,10.85
2025-02-22,Walmart,003825545,South Central,Apex,Snacks,Salty Snacks,SKU-A05,Apex Classic White Cheddar Popcorn 24oz,0-72820-00105-2,6379.78,2109,2.979,3.03,708,67.38,0.5,4404,1468,44.86
2025-02-22,Walmart,003825545,Southeast,Apex,Snacks,Salty Snacks,SKU-A05,Apex Classic White Cheddar Popcorn 24oz,0-72820-00105-2,7312.36,2334,2.812,3.13,830,74.98,5.64,5895,1965,24.04
2025-02-22,Walmart,003825545,West,Apex,Snacks,Salty Snacks,SKU-A05,Apex Classic White Cheddar Popcorn 24oz,0-72820-00105-2,6957.89,2369,3.022,2.94,784,70.84,0.5,5832,1944,19.31
2025-02-22,Walmart,003825546,Midwest,Apex,Snacks,Salty Snacks,SKU-A06,Apex Pro Protein Pretzels 32oz,0-72820-00106-9,17839.26,4105,4.952,4.35,829,63.1,1.93,14626.02,3249,21.97
2025-02-22,Walmart,003825546,Northeast,Apex,Snacks,Salty Snacks,SKU-A06,Apex Pro Protein Pretzels 32oz,0-72820-00106-9,15830.41,3352,5.303,4.72,632,72.17,2.91,10592.5,2353,49.45
2025-02-22,Walmart,003825546,South Central,Apex,Snacks,Salty Snacks,SKU-A06,Apex Pro Protein Pretzels 32oz,0-72820-00106-9,12813.62,2932,4.596,4.37,638,64.56,4.2,10353.91,2300,23.76
2025-02-22,Walmart,003825546,Southeast,Apex,Snacks,Salty Snacks,SKU-A06,Apex Pro Protein Pretzels 32oz,0-72820-00106-9,18843.87,4191,5.278,4.5,794,77.37,1.52,14711.55,3268,28.09
2025-02-22,Walmart,003825546,West,Apex,Snacks,Salty Snacks,SKU-A06,Apex Pro Protein Pretzels 32oz,0-72820-00106-9,20181.81,4590,4.847,4.4,947,69.06,4.56,18380.44,4083,9.8
2025-02-22,Walmart,003825547,Midwest,Apex,Snacks,Salty Snacks,SKU-A07,Apex Max Variety Pack 6ct,0-72820-00107-6,22257.11,5381,7.044,4.14,764,63.93,1.81,16616.97,3964,33.94
2025-02-22,Walmart,003825547,Northeast,Apex,Snacks,Salty Snacks,SKU-A07,Apex Max Variety Pack 6ct,0-72820-00107-6,19295.39,4607,6.908,4.19,667,58.87,3.4,13783.19,3288,39.99
2025-02-22,Walmart,003825547,South Central,Apex,Snacks,Salty Snacks,SKU-A07,Apex Max Variety Pack 6ct,0-72820-00107-6,17343.36,4308,5.967,4.03,722,59.57,2.51,14449.72,3447,20.03
2025-02-22,Walmart,003825547,Southeast,Apex,Snacks,Salty Snacks,SKU-A07,Apex Max Variety Pack 6ct,0-72820-00107-6,21240.23,5111,6.851,4.16,746,75.47,0.5,17040.36,4065,24.65
2025-02-22,Walmart,003825547,West,Apex,Snacks,Salty Snacks,SKU-A07,Apex Max Variety Pack 6ct,0-72820-00107-6,26074.33,6222,7.079,4.19,879,81.74,2.19,21031.11,5017,23.98
2025-02-22,Walmart,003825548,Midwest,Apex,Snacks,Salty Snacks,SKU-A08,Apex Pure Unsalted Rice Cakes 12pk,0-72820-00108-3,21064.58,4664,6.065,4.52,769,80.03,4.81,16164.2,3580,30.32
2025-02-22,Walmart,003825548,Northeast,Apex,Snacks,Salty Snacks,SKU-A08,Apex Pure Unsalted Rice Cakes 12pk,0-72820-00108-3,15508.85,3364,4.64,4.61,725,74.39,2.2,14480.05,3207,7.1
2025-02-22,Walmart,003825548,South Central,Apex,Snacks,Salty Snacks,SKU-A08,Apex Pure Unsalted Rice Cakes 12pk,0-72820-00108-3,15203.16,3537,5.255,4.3,673,77.04,3.85,13017.15,2883,16.79
2025-02-22,Walmart,003825548,Southeast,Apex,Snacks,Salty Snacks,SKU-A08,Apex Pure Unsalted Rice Cakes 12pk,0-72820-00108-3,20332.14,4535,5.769,4.48,786,65.95,0.5,17347.16,3842,17.21
2025-02-22,Walmart,003825548,West,Apex,Snacks,Salty Snacks,SKU-A08,Apex Pure Unsalted Rice Cakes 12pk,0-72820-00108-3,21924.96,5014,6.429,4.37,780,78.18,3.4,18037.98,3995,21.55
2025-02-22,Walmart,003825549,Midwest,Apex,Snacks,Salty Snacks,SKU-A09,Apex Value Mix Party Pack 36oz,0-72820-00109-0,10396.77,3252,4.394,3.2,740,68.14,0.5,9087.22,2769,14.41
2025-02-22,Walmart,003825549,Northeast,Apex,Snacks,Salty Snacks,SKU-A09,Apex Value Mix Party Pack 36oz,0-72820-00109-0,11266.32,3440,4.838,3.28,711,80.15,2.3,8296.31,2528,35.8
2025-02-22,Walmart,003825549,South Central,Apex,Snacks,Salty Snacks,SKU-A09,Apex Value Mix Party Pack 36oz,0-72820-00109-0,10878.87,3351,4.081,3.25,821,74.9,3.16,9277.56,2827,17.26
2025-02-22,Walmart,003825549,Southeast,Apex,Snacks,Salty Snacks,SKU-A09,Apex Value Mix Party Pack 36oz,0-72820-00109-0,13951.65,4221,5.277,3.31,800,78.82,1.21,10314.6,3143,35.26
2025-02-22,Walmart,003825549,West,Apex,Snacks,Salty Snacks,SKU-A09,Apex Value Mix Party Pack 36oz,0-72820-00109-0,14583.49,4230,4.785,3.45,884,60.48,4.27,11942.36,3639,22.12
2025-02-22,Walmart,003825550,Midwest,Apex,Snacks,Salty Snacks,SKU-A10,Apex XL Family Size Tortilla Chips 48oz,0-72820-00110-6,18593.21,5376,7.539,3.46,713,87.23,3.39,15996.97,4499,16.23
2025-02-22,Walmart,003825550,Northeast,Apex,Snacks,Salty Snacks,SKU-A10,Apex XL Family Size Tortilla Chips 48oz,0-72820-00110-6,20753.67,5940,8.249,3.49,720,58.43,3.75,15346.28,4316,35.24
2025-02-22,Walmart,003825550,South Central,Apex,Snacks,Salty Snacks,SKU-A10,Apex XL Family Size Tortilla Chips 48oz,0-72820-00110-6,17341.56,4979,6.483,3.48,768,62.02,3.46,15851.19,4458,9.4
2025-02-22,Walmart,003825550,Southeast,Apex,Snacks,Salty Snacks,SKU-A10,Apex XL Family Size Tortilla Chips 48oz,0-72820-00110-6,23317.09,6240,8,3.74,780,76.32,0.92,18375.72,5168,26.89
2025-02-22,Walmart,003825550,West,Apex,Snacks,Salty Snacks,SKU-A10,Apex XL Family Size Tortilla Chips 48oz,0-72820-00110-6,30719.24,8449,9.493,3.64,890,75.44,0.92,21963.39,6177,39.87
2025-02-22,Walmart,005519301,Midwest,Bolt,Beverages,Energy Drinks,SKU-B01,Bolt Original Energy Drink 12oz Single,0-61126-00201-3,23209.88,9364,13.245,2.48,707,80.41,4.21,18073.4,6941,28.42
2025-02-22,Walmart,005519301,Northeast,Bolt,Beverages,Energy Drinks,SKU-B01,Bolt Original Energy Drink 12oz Single,0-61126-00201-3,19360.01,7490,12.4,2.58,604,75.41,1.51,14667.55,5633,31.99
2025-02-22,Walmart,005519301,South Central,Bolt,Beverages,Energy Drinks,SKU-B01,Bolt Original Energy Drink 12oz Single,0-61126-00201-3,24089.11,9207,12.459,2.62,739,73.75,3.81,17378.17,6674,38.62
2025-02-22,Walmart,005519301,Southeast,Bolt,Beverages,Energy Drinks,SKU-B01,Bolt Original Energy Drink 12oz Single,0-61126-00201-3,19344.86,7708,12.197,2.51,632,63.75,10.89,16964.15,6515,14.03
2025-02-22,Walmart,005519301,West,Bolt,Beverages,Energy Drinks,SKU-B01,Bolt Original Energy Drink 12oz Single,0-61126-00201-3,27395.27,10603,13.699,2.58,774,76.79,5.59,21763.07,8358,25.88
2025-02-22,Walmart,005519302,Midwest,Bolt,Beverages,Energy Drinks,SKU-B02,Bolt Zero Sugar Energy 16oz Can,0-61126-00202-0,51544.29,17416,22.214,2.96,784,71.4,3.22,36948.4,13044,39.5
2025-02-22,Walmart,005519302,Northeast,Bolt,Beverages,Energy Drinks,SKU-B02,Bolt Zero Sugar Energy 16oz Can,0-61126-00202-0,36193.03,13088,20.974,2.77,624,77.28,3.87,27937.91,9863,29.55
2025-02-22,Walmart,005519302,South Central,Bolt,Beverages,Energy Drinks,SKU-B02,Bolt Zero Sugar Energy 16oz Can,0-61126-00202-0,30610.39,10700,17.369,2.86,616,68.95,3.55,26708.56,9429,14.61
2025-02-22,Walmart,005519302,Southeast,Bolt,Beverages,Energy Drinks,SKU-B02,Bolt Zero Sugar Energy 16oz Can,0-61126-00202-0,43569.19,15499,22.594,2.81,686,53.95,2.83,33945.84,11984,28.35
2025-02-22,Walmart,005519302,West,Bolt,Beverages,Energy Drinks,SKU-B02,Bolt Zero Sugar Energy 16oz Can,0-61126-00202-0,56384.8,19828,24.815,2.84,799,80.73,3.45,41418.24,14622,36.14
2025-02-22,Walmart,005519303,Midwest,Bolt,Beverages,Energy Drinks,SKU-B03,Bolt Citrus Burst Energy 12oz Single,0-61126-00203-7,25124.13,10240,14.008,2.45,731,71.8,1.38,22361.74,9148,12.35
2025-02-22,Walmart,005519303,Northeast,Bolt,Beverages,Energy Drinks,SKU-B03,Bolt Citrus Burst Energy 12oz Single,0-61126-00203-7,19509.8,7939,13.502,2.46,588,73.09,2.77,17089.08,6991,14.17
2025-02-22,Walmart,005519303,South Central,Bolt,Beverages,Energy Drinks,SKU-B03,Bolt Citrus Burst Energy 12oz Single,0-61126-00203-7,27079.86,11963,15.377,2.26,778,76.95,3.86,21897.3,8958,23.67
2025-02-22,Walmart,005519303,Southeast,Bolt,Beverages,Energy Drinks,SKU-B03,Bolt Citrus Burst Energy 12oz Single,0-61126-00203-7,31529.51,12122,16.098,2.6,753,75.26,2.23,24187.74,9895,30.35
2025-02-22,Walmart,005519303,West,Bolt,Beverages,Energy Drinks,SKU-B03,Bolt Citrus Burst Energy 12oz Single,0-61126-00203-7,37698.44,15438,18.141,2.44,851,74.68,2.15,28636.62,11715,31.64
2025-02-22,Walmart,005519304,Midwest,Bolt,Beverages,Energy Drinks,SKU-B04,Bolt Blue Raspberry Energy 16oz Can,0-61126-00204-4,11487.93,4078,5.997,2.82,680,73.79,2.45,9352.42,3302,22.83
2025-02-22,Walmart,005519304,Northeast,Bolt,Beverages,Energy Drinks,SKU-B04,Bolt Blue Raspberry Energy 16oz Can,0-61126-00204-4,12059.53,4309,6.336,2.8,680,66.78,2.13,8882.25,3136,35.77
2025-02-22,Walmart,005519304,South Central,Bolt,Beverages,Energy Drinks,SKU-B04,Bolt Blue Raspberry Energy 16oz Can,0-61126-00204-4,8167.97,2811,4.889,2.91,575,79.15,3.87,7273.48,2568,12.3
2025-02-22,Walmart,005519304,Southeast,Bolt,Beverages,Energy Drinks,SKU-B04,Bolt Blue Raspberry Energy 16oz Can,0-61126-00204-4,15794,5493,6.699,2.88,820,83.21,1.73,11839.22,4180,33.4
2025-02-22,Walmart,005519304,West,Bolt,Beverages,Energy Drinks,SKU-B04,Bolt Blue Raspberry Energy 16oz Can,0-61126-00204-4,14881.86,5276,6.687,2.82,789,71.8,0.6,11935.52,4214,24.69
2025-02-22,Walmart,005519305,Midwest,Bolt,Beverages,Energy Drinks,SKU-B05,Bolt Classic Energy Blend 24oz,0-61126-00205-1,12026.36,4231,5.884,2.84,719,83.64,3.5,9787.55,3488,22.87
2025-02-22,Walmart,005519305,Northeast,Bolt,Beverages,Energy Drinks,SKU-B05,Bolt Classic Energy Blend 24oz,0-61126-00205-1,9893.05,3749,6.136,2.64,611,84.22,2.2,7901.87,2816,25.2
2025-02-22,Walmart,005519305,South Central,Bolt,Beverages,Energy Drinks,SKU-B05,Bolt Classic Energy Blend 24oz,0-61126-00205-1,7954.97,2759,4.953,2.88,557,78.63,2.3,6975.87,2486,14.04
2025-02-22,Walmart,005519305,Southeast,Bolt,Beverages,Energy Drinks,SKU-B05,Bolt Classic Energy Blend 24oz,0-61126-00205-1,11490.85,3938,5.209,2.92,756,72.1,2.3,10806.15,3851,6.34
2025-02-22,Walmart,005519305,West,Bolt,Beverages,Energy Drinks,SKU-B05,Bolt Classic Energy Blend 24oz,0-61126-00205-1,13389.69,4878,6.222,2.74,784,61.23,2.36,11740.57,4184,14.05
2025-02-22,Walmart,005519306,Midwest,Bolt,Beverages,Energy Drinks,SKU-B06,Bolt Pro Pre-Workout Energy 32oz,0-61126-00206-8,22115.35,9004,11.589,2.46,777,70.5,1.8,17065.86,7125,29.59
2025-02-22,Walmart,005519306,Northeast,Bolt,Beverages,Energy Drinks,SKU-B06,Bolt Pro Pre-Workout Energy 32oz,0-61126-00206-8,17345.44,7396,10.672,2.35,693,68.75,0.5,14459.87,6037,19.96
2025-02-22,Walmart,005519306,South Central,Bolt,Beverages,Energy Drinks,SKU-B06,Bolt Pro Pre-Workout Energy 32oz,0-61126-00206-8,13499.13,5816,9.678,2.32,601,75.9,2.07,12146.1,5071,11.14
2025-02-22,Walmart,005519306,Southeast,Bolt,Beverages,Energy Drinks,SKU-B06,Bolt Pro Pre-Workout Energy 32oz,0-61126-00206-8,19347.94,7918,11.575,2.44,684,68.91,0.5,15774.84,6586,22.65
2025-02-22,Walmart,005519306,West,Bolt,Beverages,Energy Drinks,SKU-B06,Bolt Pro Pre-Workout Energy 32oz,0-61126-00206-8,23978.15,9727,12.798,2.47,760,68,2.08,18361.67,7666,30.59
2025-02-22,Walmart,005519307,Midwest,Bolt,Beverages,Energy Drinks,SKU-B07,Bolt Max Energy Variety 6pk 12oz,0-61126-00207-5,15434.27,5837,7.92,2.64,737,75.58,0.5,13342.86,5049,15.67
2025-02-22,Walmart,005519307,Northeast,Bolt,Beverages,Energy Drinks,SKU-B07,Bolt Max Energy Variety 6pk 12oz,0-61126-00207-5,15687.04,5953,9.272,2.64,642,53.44,3.21,11043.73,4179,42.04
2025-02-22,Walmart,005519307,South Central,Bolt,Beverages,Energy Drinks,SKU-B07,Bolt Max Energy Variety 6pk 12oz,0-61126-00207-5,13497.74,5209,8.429,2.59,618,72.26,3.02,10293.21,3895,31.13
2025-02-22,Walmart,005519307,Southeast,Bolt,Beverages,Energy Drinks,SKU-B07,Bolt Max Energy Variety 6pk 12oz,0-61126-00207-5,13733.57,5321,8.148,2.58,653,67.24,2.97,12415.28,4698,10.62
2025-02-22,Walmart,005519307,West,Bolt,Beverages,Energy Drinks,SKU-B07,Bolt Max Energy Variety 6pk 12oz,0-61126-00207-5,19415.94,7021,10.044,2.77,699,66.61,1.59,13921.6,5268,39.47
2025-02-22,Walmart,005519308,Midwest,Bolt,Beverages,Energy Drinks,SKU-B08,Bolt Pure Sugar-Free Energy 12pk 12oz,0-61126-00208-2,11112.65,3935,6.357,2.82,619,70.18,2.87,9301.09,3276,19.48
2025-02-22,Walmart,005519308,Northeast,Bolt,Beverages,Energy Drinks,SKU-B08,Bolt Pure Sugar-Free Energy 12pk 12oz,0-61126-00208-2,11773.29,4255,6.428,2.77,662,68.92,3.02,9448.73,3328,24.6
2025-02-22,Walmart,005519308,South Central,Bolt,Beverages,Energy Drinks,SKU-B08,Bolt Pure Sugar-Free Energy 12pk 12oz,0-61126-00208-2,9757.95,3398,5.48,2.87,620,66.21,1.23,8568.59,3018,13.88
2025-02-22,Walmart,005519308,Southeast,Bolt,Beverages,Energy Drinks,SKU-B08,Bolt Pure Sugar-Free Energy 12pk 12oz,0-61126-00208-2,15640.66,5449,7.384,2.87,738,69.59,1.16,11643.4,4101,34.33
2025-02-22,Walmart,005519308,West,Bolt,Beverages,Energy Drinks,SKU-B08,Bolt Pure Sugar-Free Energy 12pk 12oz,0-61126-00208-2,16103.32,5808,7.362,2.77,789,75.82,2.78,13040.27,4593,23.49
2025-02-22,Walmart,005519309,Midwest,Bolt,Beverages,Energy Drinks,SKU-B09,Bolt Value Energy Multipack 18pk,0-61126-00209-9,22617.08,6853,8.246,3.3,831,70.73,2.31,17110,5242,32.19
2025-02-22,Walmart,005519309,Northeast,Bolt,Beverages,Energy Drinks,SKU-B09,Bolt Value Energy Multipack 18pk,0-61126-00209-9,18654.44,5648,7.633,3.3,740,66,2.01,14475.94,4435,28.87
2025-02-22,Walmart,005519309,South Central,Bolt,Beverages,Energy Drinks,SKU-B09,Bolt Value Energy Multipack 18pk,0-61126-00209-9,16212.54,4919,7.674,3.3,641,78.61,1.66,12142.16,3720,33.52
2025-02-22,Walmart,005519309,Southeast,Bolt,Beverages,Energy Drinks,SKU-B09,Bolt Value Energy Multipack 18pk,0-61126-00209-9,17921.82,5428,8.575,3.3,633,68.13,3.64,13686.04,4193,30.95
2025-02-22,Walmart,005519309,West,Bolt,Beverages,Energy Drinks,SKU-B09,Bolt Value Energy Multipack 18pk,0-61126-00209-9,21779.55,6493,8.378,3.35,775,69,3.16,17553.91,5378,24.07
2025-02-22,Walmart,005519310,Midwest,Bolt,Beverages,Energy Drinks,SKU-B10,Bolt XL Bulk Energy Can 128oz,0-61126-00210-5,13659.32,5642,8.549,2.42,660,79.09,3.8,11518.52,4672,18.59
2025-02-22,Walmart,005519310,Northeast,Bolt,Beverages,Energy Drinks,SKU-B10,Bolt XL Bulk Energy Can 128oz,0-61126-00210-5,15317.03,6446,9.948,2.38,648,67.66,5.59,10744.37,4358,42.56
2025-02-22,Walmart,005519310,South Central,Bolt,Beverages,Energy Drinks,SKU-B10,Bolt XL Bulk Energy Can 128oz,0-61126-00210-5,13621.3,5469,8.389,2.49,652,72.28,1.26,10468.24,4246,30.12
2025-02-22,Walmart,005519310,Southeast,Bolt,Beverages,Energy Drinks,SKU-B10,Bolt XL Bulk Energy Can 128oz,0-61126-00210-5,17785.87,7163,10.549,2.48,679,58.37,1.62,12443.06,5047,42.94
2025-02-22,Walmart,005519310,West,Bolt,Beverages,Energy Drinks,SKU-B10,Bolt XL Bulk Energy Can 128oz,0-61126-00210-5,21563.76,9065,10.061,2.38,901,73.47,1.48,17297.5,7016,24.66
2025-02-22,Walmart,007234101,Midwest,Silke,Personal Care,Hair Care,SKU-C01,Silke Moisturizing Shampoo 8oz,0-85931-00301-2,10905.85,1380,2.039,7.9,677,61.28,3.5,8603.37,1116,26.76
2025-02-22,Walmart,007234101,Northeast,Silke,Personal Care,Hair Care,SKU-C01,Silke Moisturizing Shampoo 8oz,0-85931-00301-2,9418.06,1295,1.829,7.27,708,79.16,1.51,8549.4,1109,10.16
2025-02-22,Walmart,007234101,South Central,Silke,Personal Care,Hair Care,SKU-C01,Silke Moisturizing Shampoo 8oz,0-85931-00301-2,8080.81,1059,1.794,7.63,590,76.96,3.34,6899.65,895,17.12
2025-02-22,Walmart,007234101,Southeast,Silke,Personal Care,Hair Care,SKU-C01,Silke Moisturizing Shampoo 8oz,0-85931-00301-2,11033.75,1388,1.977,7.95,702,72.94,1.43,9366.57,1215,17.8
2025-02-22,Walmart,007234101,West,Silke,Personal Care,Hair Care,SKU-C01,Silke Moisturizing Shampoo 8oz,0-85931-00301-2,11408.73,1517,2.173,7.52,698,77.39,4.28,9759.73,1266,16.9
2025-02-22,Walmart,007234102,Midwest,Silke,Personal Care,Hair Care,SKU-C02,Silke Volumizing Conditioner 12oz,0-85931-00302-9,9436.18,1218,1.97,7.75,618,77.35,2.45,6917.75,898,36.41
2025-02-22,Walmart,007234102,Northeast,Silke,Personal Care,Hair Care,SKU-C02,Silke Volumizing Conditioner 12oz,0-85931-00302-9,6585.36,875,1.62,7.53,540,79.52,3.52,5739.11,745,14.75
2025-02-22,Walmart,007234102,South Central,Silke,Personal Care,Hair Care,SKU-C02,Silke Volumizing Conditioner 12oz,0-85931-00302-9,6137.27,820,1.666,7.48,492,69.99,0.85,5068.91,658,21.08
2025-02-22,Walmart,007234102,Southeast,Silke,Personal Care,Hair Care,SKU-C02,Silke Volumizing Conditioner 12oz,0-85931-00302-9,9728.44,1256,2.107,7.75,596,66.86,2.3,7002.49,909,38.93
2025-02-22,Walmart,007234102,West,Silke,Personal Care,Hair Care,SKU-C02,Silke Volumizing Conditioner 12oz,0-85931-00302-9,11229,1453,2.018,7.73,720,70.82,2.82,8866.74,1151,26.64
2025-02-22,Walmart,007234103,Midwest,Silke,Personal Care,Hair Care,SKU-C03,Silke Lite Daily Shampoo 12oz,0-85931-00303-6,11822.98,1911,3.102,6.19,616,70.66,3.45,9765.6,1592,21.07
2025-02-22,Walmart,007234103,Northeast,Silke,Personal Care,Hair Care,SKU-C03,Silke Lite Daily Shampoo 12oz,0-85931-00303-6,10559.06,1777,3.298,5.94,539,58.5,2.28,8121.64,1324,30.01
2025-02-22,Walmart,007234103,South Central,Silke,Personal Care,Hair Care,SKU-C03,Silke Lite Daily Shampoo 12oz,0-85931-00303-6,12224.25,2022,3.19,6.05,634,75.06,3.63,9250.33,1508,32.15
2025-02-22,Walmart,007234103,Southeast,Silke,Personal Care,Hair Care,SKU-C03,Silke Lite Daily Shampoo 12oz,0-85931-00303-6,13628.15,2338,3.694,5.83,633,70.9,3.3,10538.5,1718,29.32
2025-02-22,Walmart,007234103,West,Silke,Personal Care,Hair Care,SKU-C03,Silke Lite Daily Shampoo 12oz,0-85931-00303-6,13841.75,2289,3.252,6.05,704,68.98,3.61,12280.61,2002,12.71
2025-02-22,Walmart,007234104,Midwest,Silke,Personal Care,Hair Care,SKU-C04,Silke Premium Repair Mask 16oz,0-85931-00304-3,7839.09,942,1.528,8.32,617,70.75,1.02,6240,780,25.63
2025-02-22,Walmart,007234104,Northeast,Silke,Personal Care,Hair Care,SKU-C04,Silke Premium Repair Mask 16oz,0-85931-00304-3,6849.24,878,1.442,7.8,609,53.84,2.94,5856,732,16.96
2025-02-22,Walmart,007234104,South Central,Silke,Personal Care,Hair Care,SKU-C04,Silke Premium Repair Mask 16oz,0-85931-00304-3,5285.44,638,1.169,8.28,546,79.97,1.36,5080,635,4.04
2025-02-22,Walmart,007234104,Southeast,Silke,Personal Care,Hair Care,SKU-C04,Silke Premium Repair Mask 16oz,0-85931-00304-3,9113.08,1119,1.643,8.14,681,67.98,1.15,7232,904,26.01
2025-02-22,Walmart,007234104,West,Silke,Personal Care,Hair Care,SKU-C04,Silke Premium Repair Mask 16oz,0-85931-00304-3,10859.7,1326,1.748,8.19,759,64.08,1.65,8448,1056,28.55
2025-02-22,Walmart,007234105,Midwest,Silke,Personal Care,Hair Care,SKU-C05,Silke Classic 2-in-1 Shampoo+Cond 24oz,0-85931-00305-0,10864.95,1796,2.705,6.05,664,71.36,3.14,9240,1540,17.59
2025-02-22,Walmart,007234105,Northeast,Silke,Personal Care,Hair Care,SKU-C05,Silke Classic 2-in-1 Shampoo+Cond 24oz,0-85931-00305-0,10809.46,1815,3.065,5.96,592,80.24,4.03,7830,1305,38.05
