scorecard_period,retailer_name,brand_name,total_dollar_sales,dollar_share_of_category_pct,distribution_points,avg_acv_pct,avg_oos_rate_pct,total_promo_weeks,on_shelf_availability_pct,yoy_sales_growth_pct,new_items_added,items_delisted,buyer_name,jbp_target_growth_pct
2024-Q4,Costco,Brand A,178422.41,17.84,24,61.47,2.29,6,95.78,2.78,0,0,David Kim,11.06
2024-Q4,Costco,Brand B,91726.93,12.59,12,65.82,7.91,11,96.8,4.45,4,2,David Kim,9.81
2024-Q4,Costco,Brand C,101424.1,21.19,24,71.01,2.69,7,91.43,6.76,1,2,David Kim,9.03
2024-Q4,Kroger,Brand A,389255.42,16.33,8,76.97,7.06,18,94.91,7.46,0,0,Sarah Johnson,5.99
2024-Q4,Kroger,Brand B,265668.52,21.99,8,57.19,2,12,95.34,15.93,2,1,Sarah Johnson,11.84
2024-Q4,Kroger,Brand C,285281.84,7.07,8,67.18,2.24,17,97.76,14.46,2,1,Sarah Johnson,9.85
2024-Q4,Target,Brand A,561304.32,17.72,20,79.62,2.95,18,97.83,13.38,1,2,Michael Chen,11.52
2024-Q4,Target,Brand B,359548.46,15.35,15,69.06,4.08,7,90.28,13.97,0,1,Michael Chen,5.31
2024-Q4,Target,Brand C,598300.38,20.84,24,66.46,4.71,9,94.69,-1.2,4,2,Michael Chen,7.89
2024-Q4,Walgreens,Brand A,113639.42,11.3,27,87.3,7.61,4,94.4,-2.11,3,0,Emily Davis,9.07
2024-Q4,Walgreens,Brand B,100900.35,10.03,14,56.65,7.07,15,96.61,6.9,3,2,Emily Davis,10.85
2024-Q4,Walgreens,Brand C,251435.96,12,12,66.32,2.28,8,92.08,14.38,4,0,Emily Davis,9.61
2024-Q4,Walmart,Brand A,1301038.93,19.33,28,65.13,3.2,12,91.56,-1.02,4,0,Jennifer Martinez,10.2
2024-Q4,Walmart,Brand B,745089.62,13.46,20,85.14,4.07,6,94.83,12.57,3,1,Jennifer Martinez,9.18
2024-Q4,Walmart,Brand C,1136968.24,6.23,12,67.61,4.03,17,92.37,8.4,0,2,Jennifer Martinez,9.16
2024-Q3,Albertsons,Brand A,145935.32,20.28,19,82.7,2.93,8,94.88,-0.16,1,0,Robert Wilson,6.42
2024-Q3,Albertsons,Brand B,94589.89,16.07,12,65.41,7.03,14,96.15,10.6,0,0,Robert Wilson,5.38
2024-Q3,Albertsons,Brand C,148579.47,9.3,13,69.17,2.2,14,98.09,4.95,4,0,Robert Wilson,11.84
2024-Q3,CVS,Brand A,117461.75,18.55,14,82.4,3.16,7,97.82,-10.06,2,1,James Williams,7.26
2024-Q3,CVS,Brand B,123622.89,6.93,9,62.21,2.06,14,96.1,14.67,3,0,James Williams,8.19
2024-Q3,CVS,Brand C,236588.36,21.61,12,68.22,2.76,8,95.14,10.54,4,0,James Williams,10.45
2024-Q3,Costco,Brand A,172043.47,11,8,68.52,7.27,5,90.65,16.72,2,2,David Kim,10.75
2024-Q3,Costco,Brand B,93299.88,16.93,12,81.77,4.57,6,98.3,6.12,4,0,David Kim,11.85
2024-Q3,Costco,Brand C,118150.09,7.05,25,84.04,5.21,5,97.5,1.64,0,1,David Kim,10.91
2024-Q3,Kroger,Brand A,382614.36,15.07,11,76.56,4.16,5,90.34,13.45,2,0,Sarah Johnson,5.18
2024-Q3,Kroger,Brand B,225532.64,13.36,15,78.14,7.01,6,95.48,9.75,4,2,Sarah Johnson,7.86
2024-Q3,Kroger,Brand C,309221.68,6.51,25,57.65,2.68,9,94.68,-0.47,2,1,Sarah Johnson,5.57
2024-Q3,Target,Brand A,460943.6,11.14,13,87.41,2.63,8,91.83,5.42,4,1,Michael Chen,11.76
2024-Q3,Target,Brand B,344998.32,5.67,21,60.35,6.2,6,95.18,16.47,0,0,Michael Chen,5.95
2024-Q3,Target,Brand C,693853.78,19.9,9,72.47,5.43,4,95.05,3.61,0,0,Michael Chen,7.15
2024-Q3,Walgreens,Brand A,116611.35,5.24,28,83.28,7.25,6,96.4,12.47,4,2,Emily Davis,7.34
2024-Q3,Walgreens,Brand B,95403.98,16.07,17,73.62,6.72,5,97.34,14.35,0,1,Emily Davis,6.47
2024-Q3,Walgreens,Brand C,245877.21,4.61,21,63.3,4.01,11,94.06,-4.23,0,1,Emily Davis,10.12
2024-Q3,Walmart,Brand A,1233134.93,4.03,28,79.89,3.67,13,94.59,16.65,3,1,Jennifer Martinez,7.03
2024-Q3,Walmart,Brand B,767236.52,18.1,15,69.25,7.8,12,93.13,11.92,0,2,Jennifer Martinez,11.7
2024-Q3,Walmart,Brand C,1003864.99,16.87,22,77.62,2.41,18,94.79,3.67,2,1,Jennifer Martinez,7.95
2024-Q2,Albertsons,Brand A,154358.02,20.85,15,77.14,4.73,18,97.69,6.45,4,2,Robert Wilson,6.03
2024-Q2,Albertsons,Brand B,89353.39,13.99,12,59.57,2.81,5,90.66,20.62,1,0,Robert Wilson,10.62
2024-Q2,Albertsons,Brand C,133037.19,21.52,16,63.6,2.9,8,94.58,7.5,0,2,Robert Wilson,10.07
2024-Q2,CVS,Brand A,117698.75,8.12,11,87.89,2.23,14,93.65,3.55,4,0,James Williams,6.12
2024-Q2,CVS,Brand B,114260.51,19.49,21,81.04,4.43,10,91.47,7.69,3,0,James Williams,11.29
2024-Q2,CVS,Brand C,235010.98,19.23,8,58.64,5.24,13,94.15,-1.63,2,0,James Williams,8.62
2024-Q2,Costco,Brand A,189414.43,15.66,15,86.32,3.84,8,91.36,19.55,3,0,David Kim,6.99
2024-Q2,Costco,Brand B,100945.98,8.63,19,81.26,4.49,16,98.56,12.54,0,0,David Kim,7.15
2024-Q2,Costco,Brand C,104886.79,7.27,21,68.2,6.49,11,96.46,-3.77,4,0,David Kim,8.43
2024-Q2,Kroger,Brand A,395179.71,9.77,10,62.98,2.05,13,97.72,7.55,2,1,Sarah Johnson,10.6
2024-Q2,Kroger,Brand B,235300.88,19.96,27,66.6,3.33,18,92.14,12.81,4,1,Sarah Johnson,11.22
2024-Q2,Kroger,Brand C,285379.19,8.55,19,69.21,5.23,14,95.82,-1.92,4,0,Sarah Johnson,10.82
2024-Q2,Target,Brand A,475019.35,18.55,20,65.01,4.02,10,96.56,16.31,0,2,Michael Chen,5.66
2024-Q2,Target,Brand B,304886.43,7.82,27,74.09,4.18,13,97.88,-0.81,2,2,Michael Chen,9.4
2024-Q2,Target,Brand C,693029.24,11.93,18,67.08,2.67,15,97.24,1.34,3,1,Michael Chen,7.8
2024-Q2,Walgreens,Brand A,111844.99,11.32,8,62.88,6.89,16,92.4,19.25,0,0,Emily Davis,8.23
2024-Q2,Walgreens,Brand B,99285.4,5.23,16,57.12,2.19,6,96.72,3.63,2,2,Emily Davis,8.29
2024-Q2,Walgreens,Brand C,237815.35,16.4,10,67.17,7.19,15,94.66,5.05,1,1,Emily Davis,7.39
2024-Q2,Walmart,Brand A,1155690.63,14.77,20,78.82,2.96,18,92.85,16.92,0,1,Jennifer Martinez,6.65
2024-Q2,Walmart,Brand B,806304.93,17.22,19,77.84,2.55,4,91.95,8,1,0,Jennifer Martinez,5.91
2024-Q2,Walmart,Brand C,1050119.33,6.55,9,58.09,3,12,96.6,8.6,3,2,Jennifer Martinez,9.14
2024-Q1,Albertsons,Brand A,171159.2,17.4,14,74.71,6.47,6,91.36,10.43,2,0,Robert Wilson,9.76
2024-Q1,Albertsons,Brand B,84604.02,21.35,26,65.15,7.5,7,94.68,19.92,1,1,Robert Wilson,5.19
2024-Q1,Albertsons,Brand C,121601.22,11.79,17,61.92,5.45,7,90.93,20.26,1,1,Robert Wilson,8.42
2024-Q1,CVS,Brand A,131544.86,18.62,23,67.83,6.37,4,92.34,14.49,3,0,James Williams,9.44
2024-Q1,CVS,Brand B,118273.91,6.52,22,85.23,4.37,4,92.65,9.12,0,0,James Williams,11.87
2024-Q1,CVS,Brand C,252107.64,14.09,16,70.53,5.7,5,90.29,5.33,4,2,James Williams,8.03
2024-Q1,Costco,Brand A,176998.91,16.28,27,84.32,2.76,12,98.26,16.77,3,1,David Kim,11.6
2024-Q1,Costco,Brand B,97858.34,17.4,10,57.53,4.04,11,91.38,5.93,4,1,David Kim,10.63
2024-Q1,Costco,Brand C,101514.22,15.24,8,72,3.15,5,91.33,25.99,1,0,David Kim,6.69
2024-Q1,Kroger,Brand A,373042.44,18.09,11,84.1,4.11,6,98.41,3.59,3,0,Sarah Johnson,9.84
2024-Q1,Kroger,Brand B,227430.83,7.59,20,67.15,4.93,5,92.13,17.8,4,0,Sarah Johnson,11.37
2024-Q1,Kroger,Brand C,287212.42,13.25,13,70.36,7.61,13,90.63,12.37,3,1,Sarah Johnson,6.21
2024-Q1,Target,Brand A,498887.72,11.05,27,80.54,3.91,12,97.26,13.96,0,2,Michael Chen,8.77
2024-Q1,Target,Brand B,296929.07,12.44,14,67.57,4.02,17,95.96,8.24,2,2,Michael Chen,8.15
2024-Q1,Target,Brand C,643878.26,19.2,24,79.75,6.53,6,94.84,-0.6,4,0,Michael Chen,5.54
2024-Q1,Walgreens,Brand A,111877.43,7.23,9,60.76,2.7,9,94.26,6.52,4,2,Emily Davis,11.46
2024-Q1,Walgreens,Brand B,110669.43,13.35,8,57.35,7.11,7,94.36,15.73,3,2,Emily Davis,5.32
2024-Q1,Walgreens,Brand C,202340.93,9.37,10,87.88,2.38,5,91.23,6.06,0,2,Emily Davis,9.26
2024-Q1,Walmart,Brand A,1106146.8,16.83,11,78.24,2.87,11,98.64,7.93,0,2,Jennifer Martinez,7.07
2024-Q1,Walmart,Brand B,859655.35,9.96,27,59.59,5.04,6,90.56,15.49,0,1,Jennifer Martinez,7.58
2024-Q1,Walmart,Brand C,1032311.51,9.84,14,57.24,5.75,13,97.57,4.59,3,0,Jennifer Martinez,8.63
2023-Q4,Albertsons,Brand A,145647.86,8.74,26,76.46,4.55,13,95.05,13.61,3,2,Robert Wilson,7.13
2023-Q4,Albertsons,Brand B,82605.75,16.62,11,86.64,5.24,8,95.46,18.87,1,1,Robert Wilson,11.85
2023-Q4,Albertsons,Brand C,112368.73,16.37,19,78.11,5.18,14,91.93,11.72,2,0,Robert Wilson,10.98
2023-Q4,CVS,Brand A,119112.31,7.63,20,85.75,5.46,9,95.01,7.24,2,2,James Williams,7.33
2023-Q4,CVS,Brand B,121027.12,15.69,25,85.08,3.08,9,97.94,9.63,2,0,James Williams,8.98
2023-Q4,CVS,Brand C,208044.06,6,25,68.66,7.39,5,91.51,10.05,2,0,James Williams,8.62
2023-Q4,Costco,Brand A,170259.88,5.82,8,61.2,2.43,18,98.1,16.72,3,0,David Kim,9.3
2023-Q4,Costco,Brand B,105522.92,12.63,9,67.32,2.96,17,98.09,-1.28,1,1,David Kim,8.77
2023-Q4,Costco,Brand C,93936.6,7.62,22,80.29,4.35,14,94.65,11.25,1,0,David Kim,5.76
2023-Q4,Kroger,Brand A,376943.31,15.96,24,73.34,5.48,7,90.39,-7.1,1,1,Sarah Johnson,9.15
2023-Q4,Kroger,Brand B,242906.97,4.75,15,58.79,2.22,18,93.73,7.19,3,2,Sarah Johnson,8.68
2023-Q4,Kroger,Brand C,272192.63,10.86,12,69.21,3.4,12,94.12,8.91,2,0,Sarah Johnson,9.83
2023-Q4,Target,Brand A,509176.59,11.98,11,69.25,5.86,16,92.1,11.09,1,2,Michael Chen,6.89
2023-Q4,Target,Brand B,268628.23,14.96,19,58.73,5.06,8,92.13,8.71,4,0,Michael Chen,6.13
2023-Q4,Target,Brand C,533087.46,12.28,12,78.38,5.54,16,92.3,10.89,0,1,Michael Chen,11.03
2023-Q4,Walgreens,Brand A,112893.39,16.02,13,55.83,7.14,8,97.6,10.77,4,0,Emily Davis,6.01
2023-Q4,Walgreens,Brand B,105582.61,18.47,23,69.89,3.14,10,92.1,8.26,0,2,Emily Davis,8.01
2023-Q4,Walgreens,Brand C,197895.55,21.23,27,56.21,4.04,6,90.6,1.81,1,2,Emily Davis,6.71
2023-Q4,Walmart,Brand A,1112256.97,21.08,24,84.49,3.11,7,91.77,5.11,1,2,Jennifer Martinez,10.09
2023-Q4,Walmart,Brand B,808653.75,15.77,23,63.66,5.53,14,93.99,14.49,2,0,Jennifer Martinez,6.5
2023-Q4,Walmart,Brand C,1064359.57,14.59,28,56.56,3.16,16,95.72,8.02,2,2,Jennifer Martinez,8.82
2023-Q3,Albertsons,Brand A,154453.82,9.82,26,67.33,4.82,17,94,21.94,1,0,Robert Wilson,8.84
2023-Q3,Albertsons,Brand B,74498.99,6.35,22,83.54,5.44,18,95.62,6.96,3,1,Robert Wilson,10.14
2023-Q3,Albertsons,Brand C,114653.55,6.43,26,75.52,2.24,5,92.73,8.08,1,2,Robert Wilson,5.3
2023-Q3,CVS,Brand A,113876.7,7.74,12,73.73,3.64,14,92.35,5.8,1,2,James Williams,6.25
2023-Q3,CVS,Brand B,97529.77,6.13,11,79.6,7.03,6,91.04,6.24,3,2,James Williams,8.43
2023-Q3,CVS,Brand C,256192.39,17.18,23,63.63,3.69,4,98.59,6.61,0,1,James Williams,10.92
2023-Q3,Costco,Brand A,165397.03,9.16,11,78.03,3.11,12,96.6,8.68,1,1,David Kim,6.33
2023-Q3,Costco,Brand B,101597,7.26,28,82.05,3.06,6,90.34,9.78,3,0,David Kim,5.06
2023-Q3,Costco,Brand C,106174.8,19.21,9,58.53,6.37,4,97.14,12.65,1,2,David Kim,9.14
2023-Q3,Kroger,Brand A,334498.81,6.15,9,84.55,6.77,18,95.45,-1.13,0,2,Sarah Johnson,10.23
2023-Q3,Kroger,Brand B,234469.7,5.31,24,86.99,7.03,10,90.28,7.3,2,2,Sarah Johnson,11.8
2023-Q3,Kroger,Brand C,327715.43,18,28,71.17,6.42,5,93.03,13.25,3,1,Sarah Johnson,5.25
2023-Q3,Target,Brand A,514295.48,17.86,18,63.46,7.72,11,93.6,13.84,3,2,Michael Chen,9
2023-Q3,Target,Brand B,315751.57,10.93,26,69.03,3.15,8,92.61,11.88,2,2,Michael Chen,5.3
2023-Q3,Target,Brand C,543598.78,19.06,9,77.45,7.03,4,93.1,9.88,2,2,Michael Chen,7.14
2023-Q3,Walgreens,Brand A,100407.13,20.1,25,64.76,7,16,90.8,10.33,0,2,Emily Davis,10.85
2023-Q3,Walgreens,Brand B,91722.86,10.12,12,84.13,6.63,15,98.2,16.54,1,1,Emily Davis,7.81
2023-Q3,Walgreens,Brand C,220495.29,6.81,27,57.53,6.69,18,91.1,3.11,2,1,Emily Davis,5.6
2023-Q3,Walmart,Brand A,1217782.52,4.17,19,77.62,4.72,12,96.86,28.32,2,1,Jennifer Martinez,5.73
2023-Q3,Walmart,Brand B,722333.27,13.76,16,64.22,3.74,15,96.76,3.66,4,0,Jennifer Martinez,8.55
2023-Q3,Walmart,Brand C,1016642.49,4.24,17,60.34,7.78,18,94.59,5.32,1,2,Jennifer Martinez,7.73
2023-Q2,Albertsons,Brand A,160369.3,4.45,13,57.5,7.96,18,92.44,5.21,2,0,Robert Wilson,8.19
2023-Q2,Albertsons,Brand B,75794.81,7.53,27,65.44,6.16,14,93.66,-0.9,1,2,Robert Wilson,11.39
2023-Q2,Albertsons,Brand C,128781.75,6.14,14,80.01,2.27,4,97.75,2.19,1,0,Robert Wilson,8.63
2023-Q2,CVS,Brand A,112919.68,8.86,14,77.64,7.58,10,93.04,6.12,0,0,James Williams,8.94
2023-Q2,CVS,Brand B,100764.21,18.08,10,77.46,6.5,12,94.46,1.32,1,0,James Williams,10.41
2023-Q2,CVS,Brand C,220091.68,12.94,17,88,4.78,10,96.24,13.8,2,1,James Williams,8.02
2023-Q2,Costco,Brand A,174688.51,15.05,17,64.99,7.43,13,96.55,18.17,1,1,David Kim,7.85
2023-Q2,Costco,Brand B,96477.29,7.91,12,68.3,3,6,96.4,11.84,3,1,David Kim,6.88
2023-Q2,Costco,Brand C,109247.98,14.17,11,83.97,6.24,18,96.98,19.54,3,1,David Kim,6.15
2023-Q2,Kroger,Brand A,327195.76,6.14,12,60.25,4.33,9,94.68,6.65,4,1,Sarah Johnson,5.79
2023-Q2,Kroger,Brand B,222134.57,19.78,14,63.54,6.67,10,97.23,9.09,4,0,Sarah Johnson,8.04
2023-Q2,Kroger,Brand C,283941.31,8.82,13,60.99,5.69,15,96.84,4.4,2,1,Sarah Johnson,5.47
2023-Q2,Target,Brand A,450800.22,19.48,19,73.97,3.52,16,93.66,5.68,1,0,Michael Chen,10.96
2023-Q2,Target,Brand B,328662.91,13.88,24,68.67,3.72,18,92.08,9.18,3,2,Michael Chen,9.52
2023-Q2,Target,Brand C,634986.75,7.62,13,64.04,5.74,5,98.25,6.81,3,2,Michael Chen,10.76
2023-Q2,Walgreens,Brand A,98672.53,18.82,19,69.34,5.35,9,98.52,11.23,2,0,Emily Davis,5.52
2023-Q2,Walgreens,Brand B,98134.48,6.89,24,59.53,7.86,6,97.58,-7.57,3,0,Emily Davis,10.43
2023-Q2,Walgreens,Brand C,213010.03,12.17,28,80.13,3.26,18,90.48,5.95,4,2,Emily Davis,9.19
2023-Q2,Walmart,Brand A,1084347.62,4.77,17,75.17,3.5,4,93.53,8.79,0,1,Jennifer Martinez,6.8
2023-Q2,Walmart,Brand B,684741.3,9.13,28,61.08,2.37,5,92.59,14.76,0,0,Jennifer Martinez,10.44
2023-Q2,Walmart,Brand C,992316.75,21.82,27,75.18,7.17,6,93.73,10.02,1,0,Jennifer Martinez,9.17
2023-Q1,Albertsons,Brand A,155358.47,17.37,20,74.82,5.4,5,98.81,8.98,1,0,Robert Wilson,6.43
2023-Q1,Albertsons,Brand B,85761.68,15.44,13,61.73,3.86,7,90.92,7.51,4,1,Robert Wilson,5.23
2023-Q1,Albertsons,Brand C,117713.49,15.2,23,75.16,7.31,17,90.74,6.94,4,1,Robert Wilson,6.13
2023-Q1,CVS,Brand A,122204.45,19.24,16,87.65,7.66,4,96.35,17.45,0,2,James Williams,11.46
2023-Q1,CVS,Brand B,112359.48,12.83,9,80.57,4.56,4,97.37,7.77,4,2,James Williams,10.36
2023-Q1,CVS,Brand C,210696.64,17.64,28,66.84,7.75,10,91.73,9.97,2,0,James Williams,5.48
2023-Q1,Costco,Brand A,152787.12,8.57,22,64.18,2.08,10,93.96,9.27,3,2,David Kim,7.41
2023-Q1,Costco,Brand B,91653.15,15.82,23,73.38,6.12,12,97.86,6.53,1,0,David Kim,7.07
2023-Q1,Costco,Brand C,86746.79,20.41,9,79.28,7.76,17,94.21,1.09,0,1,David Kim,11.88
2023-Q1,Kroger,Brand A,384710.73,9.68,17,81.87,4.05,13,91.22,-6.05,2,1,Sarah Johnson,9.98
2023-Q1,Kroger,Brand B,210539.43,4.7,19,62.04,5.85,12,91.74,22.72,2,0,Sarah Johnson,8.17
2023-Q1,Kroger,Brand C,318996.57,17.53,28,59.76,2.42,10,92.93,11.62,4,1,Sarah Johnson,8.94
2023-Q1,Target,Brand A,455420.83,21.12,22,60.51,6.67,12,98.82,3.97,2,1,Michael Chen,6.84
2023-Q1,Target,Brand B,276112.49,20.54,28,80.41,2.78,9,94.22,15.97,4,1,Michael Chen,5.59
2023-Q1,Target,Brand C,583398.76,15.63,14,78.63,2.8,13,97.56,13.72,3,1,Michael Chen,10.09
2023-Q1,Walgreens,Brand A,105269.58,15.34,12,81,6.84,4,93.16,4.02,1,2,Emily Davis,10.97
2023-Q1,Walgreens,Brand B,100771.13,13.14,13,84.38,6.5,14,90.62,18.22,4,1,Emily Davis,6.78
2023-Q1,Walgreens,Brand C,193937.66,12.31,18,63.52,3.58,9,98.88,17.41,1,0,Emily Davis,6.58
2023-Q1,Walmart,Brand A,1138459.58,21.64,24,86.76,7.49,7,90.14,-2.65,4,1,Jennifer Martinez,11.33
2023-Q1,Walmart,Brand B,648124.9,12,24,83.31,7.26,9,96.33,7.24,2,2,Jennifer Martinez,9.53
2023-Q1,Walmart,Brand C,957866.37,12.05,16,83.23,3.87,10,98.81,18.7,2,0,Jennifer Martinez,5.42
